ImagesNames;SequenceID;Length;Annotation;box_standard;box_small;deployment
['RCNX0058.JPG'];70;1;PickupSetup;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0054.JPG'];71;1;PickupSetup;;;05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0051.JPG'];72;1;PickupSetup;;;05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0052.JPG'];73;1;PickupSetup;;;05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0053.JPG'];74;1;PickupSetup;;;05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0055.JPG'];75;1;PickupSetup;;;05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0056.JPG'];76;1;PickupSetup;;;05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0057.JPG'];77;1;PickupSetup;;;05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0059.JPG'];78;1;PickupSetup;;;05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0060.JPG'];79;1;PickupSetup;;;05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0553.JPG'];510;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0554.JPG'];511;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0560.JPG'];512;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0557.JPG'];513;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0559.JPG'];514;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0555.JPG'];515;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0556.JPG'];516;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0551.JPG'];517;1;Blank;;;05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0552.JPG'];518;1;Blank;;;05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX0558.JPG'];519;1;Blank;;;05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX1127.JPG'];1060;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX1130.JPG'];1061;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX1121.JPG'];1062;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX1122.JPG'];1063;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX1123.JPG'];1064;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX1124.JPG'];1065;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX1125.JPG'];1066;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX1126.JPG'];1067;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
['RCNX1129.JPG'];1068;1;Blank;[[()]];[[()]];05c05f7b-6c38-4a06-a3b0-145de226c8ad
